# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
426           	GAMG	1.328170e-04	8.877310e-07	2	true
427           	GAMG	1.314350e-04	8.533350e-07	2	true
428           	GAMG	1.300580e-04	8.187320e-07	2	true
429           	GAMG	1.286630e-04	7.841390e-07	2	true
430           	GAMG	1.272450e-04	7.499420e-07	2	true
431           	GAMG	1.258580e-04	7.161010e-07	2	true
432           	GAMG	1.244910e-04	6.820500e-07	2	true
433           	GAMG	1.231510e-04	6.497860e-07	2	true
434           	GAMG	1.218120e-04	6.179960e-07	2	true
435           	GAMG	1.205210e-04	5.762900e-07	2	true
436           	GAMG	1.193430e-04	5.510300e-07	2	true
437           	GAMG	1.180750e-04	5.219850e-07	2	true
438           	GAMG	1.168650e-04	4.943470e-07	2	true
439           	GAMG	1.158330e-04	4.679770e-07	2	true
440           	GAMG	1.147820e-04	4.453040e-07	2	true
441           	GAMG	1.137630e-04	4.218550e-07	2	true
442           	GAMG	1.129290e-04	4.019940e-07	2	true
443           	GAMG	1.121680e-04	3.831480e-07	2	true
444           	GAMG	1.113290e-04	3.674520e-07	2	true
445           	GAMG	1.105750e-04	3.526390e-07	2	true
446           	GAMG	1.094030e-04	3.430730e-07	2	true
447           	GAMG	1.086980e-04	3.278590e-07	2	true
448           	GAMG	1.081370e-04	3.156140e-07	2	true
449           	GAMG	1.075180e-04	3.054260e-07	2	true
450           	GAMG	1.068400e-04	2.963000e-07	2	true
451           	GAMG	1.064760e-04	2.882330e-07	2	true
452           	GAMG	1.056160e-04	2.807080e-07	2	true
453           	GAMG	1.050410e-04	2.741200e-07	2	true
454           	GAMG	1.044000e-04	2.682440e-07	2	true
455           	GAMG	1.037860e-04	2.630800e-07	2	true
456           	GAMG	1.031650e-04	2.584100e-07	2	true
457           	GAMG	1.037730e-04	2.340010e-07	2	true
458           	GAMG	1.017090e-04	2.535190e-07	2	true
459           	GAMG	1.017350e-04	2.359580e-07	2	true
460           	GAMG	1.007620e-04	2.396790e-07	2	true
461           	GAMG	1.002740e-04	2.338450e-07	2	true
462           	GAMG	9.955390e-05	2.328010e-07	2	true
463           	GAMG	9.891890e-05	2.298530e-07	2	true
464           	GAMG	9.844870e-05	2.257250e-07	2	true
465           	GAMG	9.776460e-05	2.234430e-07	2	true
466           	GAMG	9.694100e-05	2.227340e-07	2	true
467           	GAMG	9.637250e-05	2.197360e-07	2	true
468           	GAMG	9.576210e-05	2.182750e-07	2	true
469           	GAMG	9.496910e-05	2.164610e-07	2	true
470           	GAMG	9.445700e-05	2.150080e-07	2	true
471           	GAMG	9.363570e-05	2.125730e-07	2	true
472           	GAMG	9.290850e-05	2.121230e-07	2	true
473           	GAMG	9.226940e-05	2.108660e-07	2	true
474           	GAMG	9.163210e-05	2.099180e-07	2	true
475           	GAMG	9.099700e-05	2.091090e-07	2	true
476           	GAMG	9.037040e-05	2.084040e-07	2	true
477           	GAMG	8.975300e-05	2.078010e-07	2	true
478           	GAMG	8.914320e-05	2.072830e-07	2	true
479           	GAMG	8.854570e-05	2.068700e-07	2	true
480           	GAMG	8.797560e-05	2.065330e-07	2	true
481           	GAMG	8.745230e-05	2.062790e-07	2	true
482           	GAMG	8.696850e-05	2.061890e-07	2	true
483           	GAMG	8.656210e-05	2.066420e-07	2	true
484           	GAMG	8.637200e-05	2.087480e-07	2	true
485           	GAMG	8.572430e-05	2.040160e-07	2	true
486           	GAMG	8.548430e-05	2.041500e-07	2	true
487           	GAMG	8.452590e-05	2.061300e-07	2	true
488           	GAMG	8.401690e-05	2.068620e-07	2	true
489           	GAMG	8.359960e-05	2.072700e-07	2	true
